ltable_id,rtable_id,label,cluster_id_left,cluster_id_right,pair_id
190,196,1,187,187,8289216#50809231
192,199,1,189,189,21078486#79108432
193,200,1,190,190,7664879#16972715
194,201,1,191,191,8281130#13760497
195,202,1,192,192,43570042#82477177
198,33,1,33,33,55982328#71116679
200,206,1,196,196,43718685#46104758
201,207,1,197,197,34887025#32798362
202,208,1,198,198,92647013#52109003
203,209,1,199,199,10023784#47253893
204,145,1,141,141,95708516#77743117
205,210,1,200,200,66814546#57129676
206,211,1,201,201,76928307#40059942
207,212,1,202,202,92823416#75447635
208,213,1,203,203,43006963#82270293
209,214,1,204,204,42796738#22665123
210,215,1,205,205,33538650#57619335
211,216,1,206,206,21270295#47889081
212,217,1,207,207,92199912#75740074
215,220,1,210,210,889880#20061554
216,221,1,211,211,6800809#58599683
217,222,1,212,212,37707111#81014895
218,223,1,213,213,72894094#75622670
220,60,1,60,60,12450038#19301010
221,103,1,102,102,51949387#95251640
222,169,1,162,162,97562809#97873950
223,224,1,214,214,49684971#83865712
224,225,1,215,215,46613388#88209597
227,228,1,218,218,17562112#79252396
228,229,1,219,219,19898767#85394877
229,230,1,220,220,34000213#53058929
230,231,1,221,221,53355009#62058424
231,232,1,222,222,89973207#65392801
232,233,1,223,223,50323139#56768821
233,234,1,224,224,50926478#52304649
234,235,1,225,225,29965851#35845201
235,236,1,226,226,23256830#12103618
236,237,1,227,227,3079056#83187166
237,238,1,228,228,86917365#49536402
238,239,1,229,229,66649332#67035709
243,244,1,234,234,35610900#24345418
247,248,1,238,238,53086722#24414199
248,249,1,239,239,46652889#6214990
249,102,1,101,101,75684453#18854966
250,250,1,240,240,4544706#69206944
251,251,1,241,241,43763158#60733486
252,252,1,242,242,55624269#61649172
256,256,1,246,246,51785841#85554698
257,257,1,247,247,45261819#60389545
258,258,1,248,248,18854966#65983637
260,260,1,250,250,67897793#86961593
263,263,1,253,253,44420446#44690743
264,264,1,254,254,65414283#69414172
265,265,1,255,255,51078796#78581517
266,266,1,256,256,14196184#15729262
267,267,1,257,257,79069245#35536212
269,269,1,259,259,39990303#30914886
270,270,1,260,260,29744880#78766806
271,271,1,261,261,21249557#67897793
272,273,1,262,262,34826703#45511817
191,274,1,188,188,1887783#93998038
273,275,1,263,263,73353855#62936992
274,276,1,264,264,11543754#22034280
276,277,1,265,265,25304065#41839134
277,278,1,266,266,41092882#89462225
278,279,1,267,267,91698192#85463636
279,281,1,268,268,73810179#35857792
280,60,1,60,60,37086576#19301010
126,282,1,125,125,27946151#44483408
281,283,1,269,269,41132356#34934382
282,284,1,270,270,66684435#98273310
282,285,1,270,270,66684435#75684453
284,287,1,272,272,42895870#73545745
285,288,1,273,273,41184909#42916115
286,289,1,274,274,33783807#54333496
287,290,1,275,275,17869090#83152759
288,291,1,276,276,50564353#69243833
290,293,1,278,278,73335794#87622461
291,294,1,279,279,26725937#37958871
293,297,1,281,281,45277958#31826558
294,298,1,282,282,34638630#69821747
295,299,1,283,283,68935383#37325141
102,300,1,101,101,85304830#11619753
296,301,1,284,284,24924728#19143488
297,302,1,285,285,88590575#73824521
299,304,1,287,287,24423057#24216669
301,306,1,289,289,8587141#58057278
117,307,1,116,116,17557758#29916446
304,310,1,292,292,28927993#34762269
305,311,1,293,293,7351682#61009090
308,314,1,296,296,58962954#41782299
309,315,1,297,297,14691276#30719223
310,316,1,298,298,75824860#63024495
311,317,1,299,299,25239030#49832619
313,319,1,301,301,90036333#71490927
314,320,1,302,302,82843231#86330013
315,321,1,303,303,44051779#60583235
316,254,1,244,244,30719223#51210646
317,322,1,304,304,65306765#67086788
318,323,1,305,305,54181907#89090467
319,324,1,306,306,38564743#39481203
320,325,1,307,307,55083667#65894559
321,326,1,308,308,58326251#55343673
323,328,1,310,310,69711479#75910055
324,329,1,311,311,32780854#58970863
325,330,1,312,312,98273310#85304830
326,331,1,313,313,80310375#63989540
327,332,1,314,314,41485546#93719349
328,333,1,315,315,96093457#66447084
330,334,1,316,316,7083119#22804415
331,335,1,317,317,72379446#53299737
332,336,1,318,318,95041002#17124871
333,337,1,319,319,38229432#48190320
334,338,1,320,320,12575085#21599943
335,339,1,321,321,31490474#47948274
338,342,1,324,324,69905210#73812685
193,344,1,190,190,7664879#36136163
340,345,1,326,326,66760494#33767038
341,346,1,327,327,55471505#22650533
342,347,1,328,328,17901460#44448010
343,348,1,329,329,45282536#58580596
345,350,1,331,331,51570027#87747626
346,351,1,332,332,55918296#56634824
347,327,1,309,309,44683999#85687359
348,352,1,333,333,52265517#67274293
152,354,1,151,151,48190320#53540419
350,356,1,335,335,701545#7580176
354,360,1,339,339,72470859#88216489
355,361,1,340,340,85344876#46707617
357,363,1,341,341,85198394#5366972
358,364,1,342,342,75724668#96582714
359,195,1,186,186,82795747#71389798
361,366,1,344,344,87135655#88645853
362,325,1,307,307,39460007#65894559
327,367,1,314,314,41485546#63713898
363,368,1,345,345,72145468#51590645
364,369,1,346,346,44736122#44570489
365,370,1,347,347,49067884#62318417
368,373,1,350,350,26937308#53381871
371,376,1,353,353,47253893#23358418
374,379,1,356,356,63687251#74927976
375,380,1,357,357,51652697#60799591
376,29,1,29,29,71159598#77308213
379,383,1,360,360,47446012#62145678
380,384,1,361,361,27908001#98669404
381,386,1,362,362,36084372#40741504
382,387,1,363,363,15415378#16482355
383,388,1,364,364,87949415#97656808
385,390,1,366,366,24861177#27208290
387,392,1,368,368,56341889#95360599
389,394,1,370,370,60655494#53711572
391,396,1,372,372,49740099#68477834
392,397,1,373,373,46427738#43570042
393,231,1,221,221,65693495#62058424
394,398,1,374,374,31302151#42060474
395,399,1,375,375,6744526#28950826
396,386,1,362,362,45101441#40741504
397,400,1,376,376,87530028#88846729
398,401,1,377,377,59787361#52012211
399,402,1,378,378,46104758#27999294
156,403,1,155,155,29204789#63744711
400,405,1,379,379,1959777#88531218
401,406,1,380,380,27357994#47072548
402,207,1,197,197,29989451#32798362
403,408,1,381,381,29545459#38017299
404,409,1,382,382,70632726#78212459
406,411,1,384,384,44636780#11409558
408,412,1,385,385,81401831#56341889
412,416,1,389,389,16319132#27426123
414,417,1,390,390,78964436#60919867
419,421,1,394,394,33767038#64136504
420,422,1,395,395,14515609#51937161
421,423,1,396,396,75202466#47684966
422,424,1,397,397,2596154#47836060
423,425,1,398,398,79630465#63984980
424,426,1,399,399,57882119#42822503
425,427,1,400,400,23498700#64891949
426,428,1,401,401,26055338#16456052
427,429,1,402,402,21843643#22343819
428,430,1,403,403,59037208#62284553
429,431,1,404,404,35565212#78989521
430,432,1,405,405,67832027#38033310
432,224,1,214,214,41561456#83865712
437,438,1,411,411,62909298#85257651
438,439,1,412,412,96846981#17624685
439,440,1,413,413,52341668#25945492
440,441,1,414,414,63053118#38447746
441,442,1,415,415,27660804#63297771
442,443,1,416,416,57728272#56052842
444,444,1,417,417,75012430#59564519
445,445,1,418,418,54553525#84438504
447,274,1,188,188,63297771#93998038
448,373,1,350,350,23903408#53381871
450,447,1,420,420,48525638#83073418
451,449,1,421,421,3598615#73353855
452,450,1,422,422,65672765#32015071
453,452,1,423,423,260753#97354784
454,454,1,424,424,21435377#69918467
456,456,1,426,426,48305046#34686093
457,457,1,427,427,30869320#76062815
458,458,1,428,428,12757452#88590575
52,459,1,52,52,14120468#68731378
459,460,1,429,429,15911331#71934141
460,461,1,430,430,53072167#69360418
461,462,1,431,431,49832619#63662606
462,463,1,432,432,34380744#84918364
463,465,1,433,433,48633997#65529136
464,466,1,434,434,29833960#55667225
465,468,1,435,435,735485#49326336
466,469,1,436,436,79879491#24009019
467,470,1,437,437,26102262#36022457
468,471,1,438,438,62628948#25431697
471,244,1,234,234,6657871#24345418
450,474,1,420,420,48525638#64260575
474,477,1,443,443,22252506#64565521
475,478,1,444,444,60305865#86404548
476,319,1,301,301,47141187#71490927
326,479,1,313,313,80310375#43859384
477,480,1,445,445,62373036#22537653
478,481,1,446,446,42077846#45902708
367,482,1,349,349,42890409#59311367
351,486,1,336,336,52433173#28842793
482,487,1,450,450,37035540#94415653
484,117,1,114,114,19954065#45965279
336,489,1,322,322,59376223#27660804
485,490,1,452,452,12109505#16637109
486,491,1,453,453,25593960#41191422
489,311,1,293,293,77407598#61009090
490,110,1,107,107,26453577#67371758
491,494,1,456,456,57937744#59459274
492,495,1,457,457,58763783#50897559
493,496,1,458,458,28636625#66316343
498,501,1,463,463,46111836#35951391
500,503,1,465,465,76549610#80918812
501,213,1,203,203,24514948#82270293
502,504,1,466,466,48136792#77650984
503,505,1,467,467,77743117#33275131
504,506,1,468,468,47313770#69928941
505,507,1,469,469,80212720#84000278
506,508,1,470,470,34284470#90118377
507,121,1,117,117,9728574#77398411
509,509,1,471,471,51932883#45328663
512,512,1,474,474,54872620#44644082
513,513,1,475,475,41856077#71745200
516,516,1,478,478,35560850#96635773
517,517,1,479,479,38117313#42522284
518,518,1,480,480,47264359#59080465
519,519,1,481,481,22894971#66534063
520,520,1,482,482,93998038#59376223
521,521,1,483,483,88215321#66123367
522,522,1,484,484,42412046#65163442
275,328,1,137,310,67016602#75910055
523,523,1,485,485,94511792#67293934
524,524,1,486,486,44698167#31177984
153,526,1,152,152,28948362#65655694
526,527,1,488,488,45641488#68792553
527,528,1,489,489,30217405#60848736
528,530,1,490,490,76359628#91200665
76,531,1,76,76,12706433#52555608
508,532,1,134,134,56834248#22106476
529,533,1,491,491,48816613#94680941
530,534,1,492,492,21327467#36084372
532,536,1,494,494,38963555#55136447
533,537,1,495,495,85223368#87637930
227,538,1,218,218,17562112#91403970
534,539,1,496,496,1778391#42140129
536,541,1,498,498,31474289#48046242
537,542,1,499,499,56768821#35630214
538,543,1,500,500,27195828#71855539
227,544,1,218,218,17562112#72455141
539,545,1,501,501,32822829#45550541
540,546,1,502,502,75910021#86589283
542,548,1,504,504,52196594#83517359
330,549,1,316,316,7083119#54808619
543,550,1,505,505,18304758#74205747
546,307,1,116,116,71745200#29916446
6,426,1,6,399,36288245#42822503
549,556,1,510,510,60392808#39263130
552,243,1,233,233,34407303#74483795
553,559,1,513,513,81912045#61188069
554,560,1,514,514,37083729#25603650
556,562,1,516,516,68374652#45049276
557,563,1,517,517,47072225#52403360
368,565,1,350,350,26937308#84981584
295,567,1,283,283,68935383#98575850
560,568,1,519,519,26355403#84888111
562,569,1,520,520,29012618#29965851
506,570,1,470,470,34284470#41146338
352,571,1,337,337,64714684#21670568
563,572,1,521,521,10246441#80652568
564,573,1,522,522,8565641#64928819
438,574,1,412,412,96846981#8281130
565,575,1,523,523,31125761#98647730
566,576,1,524,524,79252396#69221931
568,578,1,526,526,27369443#64313181
23,484,1,23,448,6690435#36606795
569,579,1,527,527,28552327#38290908
570,426,1,6,399,61562851#42822503
441,274,1,415,188,27660804#93998038
571,580,1,528,528,5312650#46322463
572,581,1,529,529,54214061#8289216
573,582,1,530,530,84443280#98649507
574,583,1,531,531,35301472#30835489
481,584,1,449,449,3215040#26355403
576,586,1,533,533,41113112#60979507
577,130,1,126,126,1444713#45001854
578,587,1,534,534,72346734#54722600
580,589,1,536,536,85687359#41647413
581,173,1,166,166,59003801#69120468
582,590,1,537,537,65533380#65926933
158,592,1,157,157,32132138#36256107
586,593,1,539,539,50781773#62191549
587,571,1,337,337,88849665#21670568
588,594,1,540,540,59598011#98419887
590,596,1,542,542,26184134#30037069
591,597,1,543,543,66384808#79087826
592,598,1,544,544,74205747#95345402
565,599,1,523,523,31125761#84739687
593,600,1,545,545,42074511#45226909
594,601,1,546,546,50944416#86036015
597,603,1,548,548,79605689#804681
599,605,1,550,550,76448251#16421267
600,487,1,450,450,51590645#94415653
601,606,1,551,551,42055621#52381997
602,607,1,552,552,6798938#56834248
603,608,1,553,553,85573175#39697900
604,609,1,554,554,98575850#78361157
605,610,1,555,555,91877800#11620368
203,376,1,199,353,10023784#23358418
607,611,1,556,556,35978749#45583875
221,612,1,102,102,51949387#63946017
609,614,1,558,558,82644991#98586705
610,615,1,559,559,27999294#35405475
611,603,1,548,548,25407477#804681
612,616,1,560,560,42604445#72339073
426,617,1,401,401,26055338#54631751
613,618,1,561,561,81168575#74514500
615,383,1,360,360,91137581#62145678
616,620,1,563,563,84888111#23723718
364,248,1,346,238,44736122#24414199
617,621,1,564,564,31785582#45880639
618,622,1,565,565,47562526#55649716
619,395,1,371,371,90118377#54237368
620,623,1,566,566,5838635#65896028
622,624,1,567,567,57299394#60053765
623,625,1,568,568,24414199#93261057
161,626,1,160,160,11098395#27357994
624,558,1,512,512,94750224#36439966
625,392,1,368,368,76748285#95360599
626,627,1,569,569,47138182#47688199
627,86,1,85,85,30924595#55675271
628,629,1,570,570,69321862#25239030
372,314,1,354,296,457467#41782299
102,631,1,101,101,85304830#66684435
631,11,1,11,11,21856623#90071261
632,632,1,572,572,59100632#70291557
633,633,1,573,573,31157497#37284100
634,634,1,574,574,31225471#10507288
635,635,1,575,575,67886999#66764285
636,171,1,164,164,87317188#38674629
637,637,1,576,576,74166543#78504459
638,248,1,238,238,4342807#24414199
640,639,1,578,578,88984856#45925876
23,640,1,23,23,6690435#31504406
5,641,1,5,5,34532774#66083674
642,643,1,580,580,68731378#37530368
644,644,1,581,581,62899929#84268155
646,646,1,583,583,1065127#26725937
647,647,1,584,584,97516392#59003801
651,651,1,588,588,48818759#44775009
652,652,1,589,589,46007971#457768
653,160,1,154,154,5121195#48818759
656,365,1,343,343,20383993#36761895
618,656,1,565,565,47562526#62898389
657,657,1,592,592,34500339#92823416
658,129,1,125,125,87281733#25511984
660,658,1,593,593,96142146#69202392
664,662,1,596,596,37007640#43719745
666,664,1,598,598,69910810#81441228
668,666,1,600,600,31167747#41160429
669,667,1,601,601,45840265#63623853
671,669,1,603,603,47889081#86941968
672,670,1,604,604,2353834#55591354
476,673,1,301,301,47141187#90036333
498,674,1,463,463,46111836#30639668
675,675,1,607,607,95251640#42485302
676,676,1,608,608,96656974#42128318
677,576,1,524,524,72455141#69221931
678,677,1,609,609,55687211#80825062
679,678,1,610,610,19301010#12575085
681,681,1,612,612,35630214#68820790
682,682,1,613,613,44144365#86557034
683,683,1,614,614,57397557#65992894
684,684,1,615,615,61642770#45101441
685,385,1,254,254,53299737#95267942
107,659,1,106,394,92944350#1253002
686,686,1,616,616,24092458#43700412
687,687,1,617,617,97873950#30847749
688,688,1,618,618,51320865#39203102
101,303,1,100,286,68696736#36811471
689,689,1,619,619,78831007#89167001
690,690,1,620,620,54699332#95666440
691,691,1,621,621,75447718#54168325
692,692,1,622,622,2933946#12969998
694,694,1,624,624,60979507#96683747
352,696,1,337,337,64714684#82628958
696,697,1,626,626,11364095#38564743
70,698,1,70,70,9564204#37667502
697,96,1,95,95,62392977#88549840
700,701,1,629,629,98849797#60334696
701,702,1,630,630,41337686#97937089
702,703,1,631,631,94414976#83696197
703,704,1,632,632,47185151#31834858
704,705,1,633,633,51999280#88924072
706,425,1,398,398,804681#63984980
707,708,1,635,635,44715722#86069814
710,712,1,638,638,46980585#59210446
21,713,1,21,21,56234120#98665740
711,714,1,639,639,11409558#36864471
713,660,1,594,594,484757#76113735
714,715,1,640,640,34961217#35884378
715,716,1,641,641,72995363#16860122
716,641,1,5,5,65827191#66083674
717,717,1,642,642,6331948#69709216
321,192,1,308,90,58326251#74613707
718,498,1,460,460,89117065#2485153
188,13,1,157,13,89896876#45291729
719,718,1,643,643,74722865#56278238
141,719,1,140,140,49420850#19744218
720,720,1,644,644,35857792#95788465
395,107,1,375,84,6744526#74124966
722,722,1,646,646,36688224#54616332
725,228,1,218,218,21180493#79252396
726,725,1,649,649,54112792#27286069
727,726,1,650,650,76499819#46824556
711,418,1,639,391,11409558#60378728
728,727,1,651,651,35900099#44424181
620,233,1,566,223,5838635#56768821
277,732,1,266,266,41092882#68806280
61,733,1,61,61,26095201#41704902
734,734,1,656,656,89056#72145468
110,584,1,109,449,10524933#26355403
735,735,1,657,657,80450571#65983812
736,736,1,658,658,18404871#82361409
425,608,1,400,553,23498700#39697900
740,739,1,661,661,97516345#33209790
742,741,1,663,663,76369891#12484415
743,230,1,220,220,16177635#53058929
744,742,1,664,664,84107754#49621569
746,744,1,666,666,44729677#49072238
748,25,1,25,25,54237297#59075657
749,746,1,667,667,2144839#65960689
750,747,1,668,668,61306190#34826703
91,326,1,90,308,4991565#55343673
752,749,1,670,670,31860044#46781089
754,751,1,672,672,53786121#80489256
756,87,1,86,86,43909796#60305865
757,753,1,674,674,3767863#47840381
759,755,1,676,676,24139438#39562985
584,756,1,538,538,62404947#87317188
760,540,1,497,497,38339458#29412990
763,759,1,679,679,96712384#72164444
765,761,1,681,681,69249085#57397557
766,762,1,682,682,60489942#64830611
767,156,1,132,132,3846927#93532842
769,764,1,684,684,54333496#42424469
772,766,1,686,686,35724064#72470859
773,767,1,687,687,70894508#74342620
588,36,1,540,36,59598011#94511792
774,769,1,688,688,98595213#52911581
776,770,1,689,689,22430617#42103916
777,91,1,90,90,93010788#58326251
778,771,1,690,690,87229040#74722865
779,772,1,691,691,33209790#71966113
780,773,1,692,692,64892592#95715112
782,727,1,651,651,98547332#44424181
783,774,1,693,693,58116034#18942955
784,776,1,694,694,5489545#52438681
785,777,1,695,695,84429009#63542010
786,778,1,696,696,64313181#26055338
787,779,1,697,697,77257977#17901460
788,780,1,698,698,89928975#70665219
560,620,1,519,563,26355403#23723718
790,782,1,700,700,87542445#29203591
142,783,1,141,141,40059942#29858529
791,785,1,701,701,23447056#56787838
792,786,1,702,702,78504449#82913198
795,788,1,704,704,65798606#84274296
796,632,1,572,572,80240194#70291557
797,423,1,396,396,51280173#47684966
798,790,1,705,705,41839134#56865642
799,791,1,706,706,20120668#49389500
364,792,1,346,238,44736122#82893592
801,793,1,707,707,29941324#37927610
802,794,1,708,708,23757092#62460477
803,795,1,709,709,50985477#72112899
805,797,1,711,711,33753739#57035496
806,1,1,1,1,39870742#62294232
810,777,1,695,695,58970863#63542010
812,615,1,559,559,22718788#35405475
813,372,1,349,349,91497919#70601468
814,801,1,715,715,64715021#69996428
816,804,1,717,717,95715165#42890409
817,805,1,718,718,9789508#18404871
230,806,1,221,221,53355009#66901817
506,808,1,470,470,34284470#35560850
786,809,1,696,696,64313181#38939272
820,810,1,720,720,19544823#42514477
821,811,1,721,721,88606905#69863476
824,814,1,723,723,4819742#45669277
179,817,1,178,178,52590809#81439789
827,818,1,726,726,45194309#86306023
828,819,1,727,727,55951938#83701427
829,820,1,728,728,83095015#36758987
830,821,1,729,729,22377043#94368030
831,822,1,730,730,22150807#70318728
249,330,1,101,312,75684453#85304830
832,734,1,656,656,21860951#72145468
833,823,1,731,731,39877339#89031582
835,206,1,196,196,97354784#46104758
603,825,1,553,553,85573175#76134545
635,827,1,575,575,67886999#64234105
838,660,1,594,594,95715112#76113735
839,828,1,734,734,52672692#88855243
840,829,1,735,735,21670568#65931181
841,830,1,736,736,47194137#73711747
842,823,1,731,731,209977#89031582
642,52,1,580,52,68731378#51672417
843,834,1,737,737,69030235#71159598
844,835,1,738,738,20551993#31469368
845,836,1,739,739,19073457#32295090
847,837,1,740,740,6466874#16316564
848,838,1,741,741,43700412#87281733
317,839,1,304,304,65306765#71552646
850,841,1,743,743,66047052#74399700
703,842,1,632,632,47185151#26000261
851,843,1,744,744,83517359#56194318
853,494,1,456,456,97348432#59459274
711,162,1,639,156,11409558#54922099
85,399,1,84,375,25349351#28950826
857,847,1,748,748,68689972#93548558
858,848,1,749,749,66110234#34821146
402,136,1,197,132,29989451#34887025
859,371,1,348,348,4030876#28891661
860,519,1,481,481,54643813#66534063
861,849,1,750,750,37555027#42412046
864,348,1,329,329,66128285#58580596
865,852,1,753,753,25462564#25553062
866,132,1,128,128,12619140#56234120
510,853,1,472,472,35873746#96760735
188,592,1,157,157,89896876#36256107
154,854,1,153,153,28224541#76447164
130,855,1,129,129,38413725#53768240
867,856,1,754,754,86146945#59667572
386,860,1,367,367,38034518#81168575
874,862,1,759,759,39481203#39003028
875,863,1,760,760,38153586#42711077
877,865,1,762,762,60038145#81633739
878,782,1,700,700,77720212#29203591
880,867,1,764,764,44537944#47446012
881,785,1,701,701,25933832#56787838
882,207,1,197,197,77308213#32798362
195,72,1,192,69,43570042#70082735
216,868,1,211,211,6800809#40256697
884,639,1,578,578,69783068#45925876
481,568,1,449,519,3215040#84888111
869,869,1,756,756,31525711#96845495
864,870,1,329,329,66128285#58098284
885,871,1,765,765,69709216#64283426
886,872,1,766,766,94415653#35405134
261,874,1,251,251,24009019#89117065
765,446,1,681,419,69249085#53119611
889,877,1,769,769,19082435#56588079
365,878,1,347,347,49067884#85527916
890,879,1,770,770,76878130#72117430
400,880,1,379,379,1959777#77369375
891,881,1,771,771,21452265#36043672
863,884,1,752,752,63505292#82531103
895,886,1,775,775,98424047#69083604
896,687,1,617,617,93007560#30847749
898,889,1,777,777,38131875#43282194
899,890,1,778,778,36875298#62899929
595,891,1,201,201,33275131#76928307
506,796,1,470,710,34284470#49860479
489,893,1,293,293,77407598#7351682
900,894,1,779,779,64363962#67963843
901,895,1,780,780,82893592#53086722
902,897,1,781,781,31328629#67738615
379,898,1,360,360,47446012#77748256
903,203,1,193,193,35350872#81497694
904,882,1,772,772,32638940#63836191
346,318,1,332,300,55918296#91241309
905,900,1,782,782,10507288#23256830
647,419,1,584,392,97516392#30865062
508,903,1,134,134,56834248#25340730
908,904,1,785,785,29916446#85028460
909,401,1,377,377,52152289#52012211
466,493,1,436,455,79879491#25695404
911,906,1,787,787,4123023#28930641
424,908,1,399,399,57882119#79069245
913,609,1,554,554,48138830#78361157
914,909,1,789,789,69918467#70351063
780,910,1,692,692,64892592#71562627
915,911,1,790,790,20061554#46219568
916,912,1,791,791,46952690#46987758
919,914,1,793,793,25518374#92634945
920,286,1,271,271,78524102#22122745
921,915,1,794,794,51362158#89707882
489,916,1,293,293,77407598#51092806
922,917,1,795,795,56609065#21860951
924,350,1,331,331,95745817#87747626
925,715,1,640,640,34752640#35884378
926,919,1,797,797,75486692#95781094
927,921,1,798,798,51766259#61938708
602,922,1,552,552,6798938#40764402
928,108,1,105,105,77917009#62422382
930,924,1,800,800,5628683#71725022
172,110,1,171,107,22034280#67371758
601,926,1,551,551,42055621#66752788
932,152,1,147,147,63223933#31525711
933,928,1,802,802,84855664#52843087
859,929,1,348,348,4030876#34500339
934,930,1,803,803,22343819#85690398
935,931,1,804,804,69928941#36485781
937,704,1,632,632,80552236#31834858
939,933,1,806,806,60181035#67460989
461,934,1,431,431,49832619#69321862
940,935,1,807,807,76201283#85646035
3,936,1,3,3,22992322#29941324
942,635,1,575,575,64234105#66764285
290,937,1,278,278,73335794#28738167
616,938,1,563,563,84888111#10524933
944,892,1,123,123,77427895#18480165
946,940,1,809,809,36182195#98133967
