id,brand,title,description,price,cluster_id,pricecurrency,page_url
10,,iiyama G-Master Black Hawk G2730HSU-B1,,168.00,10,,
11,,WS-C3850-48F-L Cisco Catalyst 3850 Network Switch (New),"Condition: NEWAvailability: Stock AvailableCisco 3850 Ethernet Switch - 48 Ports - 48 x 10/100/1000 Ethernet PoE+ port, 1100WAC power supply, LAN Base feature set - StackPower Cables NOT Included (WS-C3850-48F-L)The Cisco Catalyst 3850 series is the enterprise-class stackable access-layer switches that provide full convergence between wired and wireless on a single platform. Cisco's Unified Access Data Plane (UADP) application-specific integrated circuit (ASIC) powers the switch and enables uniform wired-wireless policy enforcement, application visibility, flexibility and application optimization. The Cisco Catalyst 3850 series switches support full IEEE 802.3at Power over Ethernet Plus (PoE+), modular and field-replaceable network modules, redundant fans and power supplies.GeneralDevice TypeSwitch - 48 ports - managed - stackableEnclosure TypeDesktop, rack-mountable 1USubtypeGigabit EthernetPorts48 x 10/100/1000 (PoE+)Power Over Ethernet (PoE)PoE+PoE Budget800 WPerformanceSwitching capacity: 176 Gbps ¦ Stacking bandwidth: 480 GbpsCapacityIPv4 routes: 24000 ¦ NetFlow entries: 48000 ¦ Switched virtual interfaces (SVIs): 1000MAC Address Table Size32000 entriesJumbo Frame Support9198 bytesRemote Management ProtocolSNMP 1, RMON 1, RMON 2, Telnet, SNMP 3, SNMP 2c, SSH, CLIAuthentication MethodKerberos, Secure Shell (SSH), RADIUS, TACACS+FeaturesAuto-negotiation, ARP support, trunking, VLAN support, auto-uplink (auto MDI/MDI-X), IGMP snooping, Syslog support, IPv6 support, Rapid Spanning Tree Protocol (RSTP) support, Multiple Spanning Tree Protocol (MSTP) support, DHCP snooping, Dynamic Trunking Protocol (DTP) support, Port Aggregation Protocol (PAgP) support, Trivial File Transfer Protocol (TFTP) support, Access Control List (ACL) support, Quality of Service (QoS), RADIUS support, Virtual Route Forwarding-Lite (VRF-Lite), MLD snooping, Dynamic ARP Inspection (DAI), PoE+, STP Root Guard, Uni-Directional Link Detection (UDLD), Rapid Per-VLAN Spanning Tree Plus (PVRST+), IPv4 support, Shaped Round Robin (SRR), Link Aggregation Control Protocol (LACP), Remote Switch Port Analyzer (RSPAN), layer 3 load balancing, Energy Efficient Ethernet, Cisco StackWise-480 technology, Cisco StackPower technology, Flexible NetFlow (FNF)Compliant StandardsIEEE 802.3, IEEE 802.3u, IEEE 802.3z, IEEE 802.1D, IEEE 802.1Q, IEEE 802.3ab, IEEE 802.1p, IEEE 802.3af, IEEE 802.3x, IEEE 802.3ad (LACP), IEEE 802.1w, IEEE 802.1x, IEEE 802.1s, IEEE 802.3atRAM4 GBFlash Memory2 GBStatus IndicatorsPort transmission speed, port duplex mode, system, status, PoEExpansion / ConnectivityInterfaces48 x 10Base-T/100Base-TX/1000Base-T - RJ-45 PoE+ - 30 W ¦ 1 x USB Type A ¦ 1 x console - mini-USB Type B management ¦ 1 x RS-232 - RJ-45 management ¦ 1 x 10Base-T/100Base-TX/1000Base-T - RJ-45 management ¦ 2 x network stack deviceExpansion Slots1 (total) / 1 (free) x expansion slotPowerPower DeviceInternal power supplyInstalled Qty1 (installed) / 2 (max)Power RedundancyOptionalPower Redundancy Scheme1+1 (with optional power supply)Power Provided1100 WattVoltage RequiredAC 120/230 V (50/60 Hz)MiscellaneousMTBF241,050 hoursCompliant StandardsCISPR 22 Class A, GOST, BSMI CNS 13438 Class A, CISPR 24, EN 61000-3-2, NOM, EN 61000-3-3, EN55024, EN55022 Class A, ICES-003 Class A, RoHS, UL 60950-1 Second Edition, KCC, FCC Part 15 A, ISO 7779, CSA C22.2 No. 60950-1 Second Edition, EN 60950-1 Second Edition, IEC 60950-1 Second Edition, VCCI Class ASoftware / System RequirementsSoftware IncludedCisco IOS LAN BaseDimensions & WeightWidth17.5 inDepth18.9 inHeight1.8 inWeight17.64 lbsEnvironmental ParametersMin Operating Temperature23 °FMax Operating Temperature113 °FHumidity Range Operating10 - 95% (non-condensing)Min Storage Temperature-40 °FMax Storage Temperature158 °F",1.893E3,11,,
12,,Intel CPU Core i9 9900 (1151/3.1 GHz/16 MB),,569,12,,
13,Corsair,Corsair Cooling Hydro Series H55 Quiet CPU Cooler,The Easy Intel CPU Performance UpgradeYour PC will run cooler and quieter when you replace your CPU’s standard heatsink with a Hydro Series H55.Installation is straightforward: if you can get to the back of your PCR,"78,79",13,,
14,,HyperX FURY - DDR3 - 8 GB: 2 x 4 GB - DIMM 240-pin - unbuffered,"HyperX FURY DDR3 memory delivers hassle-free, Plug-and-Play functionality that gets you in the game faster and instant performance that helps you win it. Its asymmetric, aggressive design lets you stand out from the crowd of \""squared\"" designs and features quality aluminum and a diamond-cut finish.",115.99,14,,
15,,"RAM Long Double Socket Arm for 1\"" Ball Bases - Overall Length: 6\""","The RAM-B-201U-C, long double socket arm, has a socket at both ends that accommodates 1\"" ball bases. A single spring inside the arm opens the end sockets, allowing you to pivot the ball and socket connection. This socket technology allows for almost infinite adjustment and perfect viewing angles.SpecificationsDimensions:Overall Length: 6\""Socket-To-Socket Length: 5.1875\""Material: Powder Coated Marine Grade AluminiumBall: B size 1\"" rubberAccessoriesCompatibilityRelated ItemsNotesThe \""U\"" in the part number reflects product packaged in poly bag.InstructionsVideos Warranty RAM Warranty",3.595E1,15,,
16,SanDisk,SanDisk 1067x 128GB Extreme Pro CF Memory Card (160MB/s),"The SanDisk 128GB Extreme Pro CompactFlash Memory Card features data read speeds of up to 160MB/s and write speeds up to 150MB/s. VPG-65 certified, which supports full HD and 4K video - offers sustained data write speeds of 65MB/s ensuring a smooth flow of data keeping video streams crisp and clean.",3795.00,16,,
17,,1 Set D'Addario EJ16 Guitar Strings Light EJ16,1 Set D'Addario EJ16 Guitar Strings Light EJ16,7.92,17,,
18,,HyperX Fury Black 8GB [1x8GB 1600MHz DDR3 CL10 DIMM],,1.799E2,18,,
19,,BIZ 2400 II Duo IP Flex,"Jabra BIZ 2400 II QD Duo NC WideBand, Casque, Arceau, Bureau/Centre d'appels, Noir, Binaural, 1 m",191.04,19,,
20,,"WD 1TB 2,5\"" SATA SSD Blue",,479,20,,
21,,"Crucial 4GB DDR3 1600MT, s SODIMM","Part number: 96913Manufacturer product ID: CT51264BF160BUPC Code: UPC649528754240Box quantity: 20*Sub-category: RAM ModuleManufacturer: CrucialWeight (Kg): 0.20Warranty period: 60 Months204-pin SODIMMDDR3 204-pin SODIMM: Approximately 2.66 in. by 1.18 in. (66 mm by 30 mm)In short, 204-pin small outline dual inline memory modules (SODIMMs) are the form factor used to provide DDR3 memory modules for notebook computers and other small form factor computing platforms. 204-pin SODIMMs are currently available in PC3-8500 (DDR3 1066MHz) and PC3-10600 (DDR3 1333MHz) speeds.To use DDR3 memory, your system must have both a 204-pin SODIMM slot and a chipset that supports DDR3 memory. A DDR3 SODIMM will not fit into DDR2 or DDR memory sockets. (Information about which memory technology your system uses is included in the Crucial Memory Advisor™ tool.)SODIMMs are smaller and thinner than regular DIMMs, and the 204-pin SODIMM PCBs are always ~2.6 inches long and are usually around 1.18 inches high (though the heights can vary slightly). They consist of a number of memory components (usually black) that are attached to a printed circuit board (usually green). The number of memory components on a 204-pin SODIMM’s printed circuit board (PCB) can vary, but the PCB will always have 102 pins on the front and the back both, for a total of 204 pins. The gold pins on the bottom of the SODIMM provide the connection between the memory module and the memory socket.ECC: NON-ECCKit Qty: 1Speed: 1600 MT/STracer: FalseVoltage: 1.35VDIMM Type: UnbufferedBullet Features: Increases system performance",1026.00,21,,
22,,MANFROTTO trpied alu Befree Advanced 2.0 MKBFRLA4BK-BH,"MANFROTTO trpied alu Befree Advanced 2.0 MKBFRLA4BK-BH, expdition sous 24h, service professionnel inclus",169.90,22,,
23,,Pokémon TCG: Sword & Shield - Darkness Ablaze Elite Trainer Box,"Get ready to make your opponents feel the burn by heating up your Pokémon Trading Card Game collection with the Sword & Shield—Darkness Ablaze Elite Trainer Box. This box is packed with all sorts of things to enhance your deck and properly maintain your cards. To start with, there are eight Pokémon TCG: Sword & Shield—Darkness Ablaze booster packs and 65 card sleeves featuring the Legendary Pokémon Eternatus to keep your deck in tip-top shape. You'll also get 45 Energy cards so your Pokémon can use their moves in battle. Useful accessories like dice and acrylic condition markers enhance your gameplay experience, and it all comes packed in a sturdy collector's box. The Pokémon TCG: Sword & Shield—Darkness Ablaze Elite Trainer Box is a great way to dive into this new expansion!The Pokémon TCG: Sword & Shield—Darkness Ablaze Elite Trainer Box includes:8 Pokémon TCG: Sword & Shield—Darkness Ablaze booster packs65 card sleeves featuring Eternatus45 Pokémon TCG Energy cardsA player's guide to the Sword & Shield—Darkness Ablaze expansionA Pokémon TCG rulebook6 damage-counter dice1 competition-legal coin-flip die2 acrylic condition markersA collector's box to hold everything, with 4 dividers to keep it organizedA code card for the Pokémon Trading Card Game Online",49.99,23,,
24,Ubiquiti,UVC-G4-PRO Ubiquiti UniFi IP67 Bullet HD Video Camera,"Ubiquiti NetworksUniFi Video UVC-G4-PRO 4K IP67The UniFi® Protect Camera, model UVC-G4-PRO, represents the next generation of cameras designed for use with the UniFi Protect surveillance management system. This camera offers 4K Ultra HD resolution for day or night use and integrates with the UniFi Protect software for powerful and flexible IP video management.The UVC-G4-PRO is easy to set up, operate, and manage using the UniFi Protect software, which comes pre-installed the UCK-G2-PLUS, the latest generation Cloud Key controller.",830,24,,
25,,Zenmuse X7 Cinematic Gimbal Camera (Lens Excluded),The Zenmuse X7 is a compact Super 35 camera with an integrated gimbal made for high-end filmmaking.,3109.00,25,,
26,,"ZOTAC GAMING GeForce GTX 1660 Ti Twin Fan, 6GB","ZOTAC GAMING GeForce GTX 1660 Ti Twin Fan (Boost: 1770MHz), 6GB GDDR6 (12002MHz), PCI-E 3.0, 3x DisplayPort, HDMI 2.0b",449.00,26,,
27,Intel,"Intel Core i9-9900K Coffee Lake 8-Core, 16-Thread, 3.6 GHz (5.0 GHz Turbo) LGA 1151 (300 Series) 95W BX806849900K Desktop Processor Intel UHD Graphics 630","Intel Core i9-9900K Coffee Lake 8-Core, 16-Thread, 3.6 GHz (5.0 GHz Turbo) LGA 1151 (300 Series) 95W BX806849900K Desktop Processor Intel UHD Graphics 630",399.99,27,,
28,Park Tool,Park Tool Park Tool HXS-1.2 Professional L-Shaped Hex Set,"Hex wrenches made from industrial tool steel, hardened and tempered for shop use.",24.95,28,,
29,,"ASUS Prime X570-P, Socket-AM4","Moderkort, ATX, X570, DDR4, 2x PCIe 4.0 x16, 2x M.2, USB 3.2",2099.00,29,,
30,,"3M - Filter 3M Dis 13,3 16:9 Privacy Gold GPF133W9 2","3M Filter 3M Dis 13,3 16:9 Privacy Gold GPF133W9 2 (7100207024) - Typ: Skärmskydd",822.00,30,,
31,,D'Addario EJ16 Light 12-53 Acoustic Guitar String Set,(Item: 019954121143)D'Addario EJ16 Light 12-53 Acoustic Guitar String Set:Gauges: 12-16-24-32-42-53.These acoustic guitar strings feature a computer-controlled wrapping around a hex core.,6.99,31,,
32,Canon,Canon BJ CARTRIDGE PGI-29 LGY pro PIXMA PRO 1,Light Grey ink Cartridge.,26,32,,
33,,Pokemon TCG: Sword & Shield Rebel Clash Elite Trainer,"Galarian Pokémon Are Ready to Rock!Rock out with new Pokémon! Crank it loud and blast the beat - you’ll find rebellion, chaos, and punk attitude galore in the Pokémon TCG: Sword & Shield - Rebel Clash expansion, loaded with Pokémon V including Toxtricity V, Dubwool V, Boltund V, Sandaconda V, and more! You’ll also find a handful of Pokémon VMAX, including the final Evolutions of all three first partners, plus Copperajah VMAX and Dragapult VMAX. Take to the stage and the streets with the Sword & Shield - Rebel Clashexpansion!The Pokémon TCG: Sword & Shield - Rebel Clash Elite Trainer Box includes: • 8 Pokémon TCG: Sword & Shield - Rebel Clash booster packs • 65 card sleeves featuring Copperajah • 45 Pokémon TCG Energy cards • A player’s guide to the Sword & Shield - Rebel Clash expansion • A Pokémon TCG rulebook • 6 damage-counter dice • 1 competition-legal coin-flip die • 2 acrylic condition markers • A collector's box to hold everything, with 4 dividers to keep it organized • A code card for the Pokémon Trading Card Game Online",36.99,33,,
34,,LaCie 5TB HDD Rugged Thunderbolt USB-C External Portable Drive,"Pros Trust the Rugged FamilySince 2005, LaCie Rugged portable drives have thrived where only the toughest survive — the film sets, photo shoots, and music studios of the world’s most influential creative pros. Why? Because LaCie Rugged products are the industry’s most trusted way to capture and transport data in the field.Thunderbolt & USB-C ReadyA common scenario: You need to edit and deliver a project to a client, but you use a USB-C MacBook Pro and they use a USB 3.0 computer. What do you do? Simple — go for Rugged. This family of drives embraces a wide array of interface compatibilities so that you can edit, collaborate and share seamlessly.Super SpeedTheLaCie Rugged Thunderbolt External HDDprovides 5TB of high-speed storage to virtually every type of system that sports a Thunderbolt, USB Type-A, or USB Type-C port. This LaCie Rugged is armed with an integrated Thunderbolt cable capable of transferring data at rates of up to 10 Gb/s. For non-Thunderbolt systems, it comes with one USB 3.0 Type-C port with 5 Gb/s speeds.Rugged Drives for All-Terrain ReliabilityAside from providing high-speed storage, the LaCie Rugged is designed to survive 6.6' drops and 1-ton weights. It is IP54 rated, which protects the SSD from dust and water spills. Moreover, AES 256-bit software encryption is available to safeguard your sensitive data from unauthorised access.",259.99,34,,
35,,SanDisk Extreme PRO® CompactFlash® 160MB/s 32GB Memory Card,"Industry-Leading Combination of Storage Capacity and Professional-Grade Performance Get high-capacity storage, faster shot-to-shot performance, and cinema-quality video with the SanDisk Extreme PRO CompactFlash Memory Card. With transfer speeds of up to 160MB/s, this card offers the fast, efficient performance you expect from the global leader in flash memory cards. This industry-leading memory",250,35,,
36,Corsair,Corsair Vengeance LPX 32GB DDR4 Kit RAM,"Vengeance Low Profile heat spreaders have a reduced height of 1.03\"". They're designed for high-performance systems with extra-large CPU coolers, small form factor system builds, or any other space-constrained application where you need high-performance memory but standard Vengeance modules might not fit.",148.07,36,,
37,WD,WD Red Plus WD10JFCX 1TB,"The WD Red family just got biggerOur formula of success has led to the growth of WD Red into the highest capacities possible. Available in different capacities, WD offers an even broader, more comprehensive portfolio of NAS solutions for our customers spanning from a total of 1 to 16 bays. The WD Red family just got bigger.NASware grows to 3.0Built off of our determination to deliver the best NAS experience, NASware 3.0 extends our promise by further optimizing WD Red for the NAS environment with added support for 6 to 8 NAS bays. WD Red now supports small NAS systems from 1 to 8 bays thanks to NASware 3.0, which further improves drive compatibility and reliability. At 48 TB of total capacity in an 8 bay system, WD Red expands your NAS experience.Professional solutionsDesigned specifically with SMB customers in mind, the WD Red family has expanded with the addition of WD Red Pro, which is available for the 8 to 16 bay medium to large-scale NAS environments. With high capacities, WD Red Pro was engineered to handle the increased workloads from your business.Experienced in NASWD Red is a reflection of the most extensive NAS partner compatibility- testing list that is available on the market. That means when you buy a NAS enclosure, you can trust that WD Red will be the most compatible drive available. Our pride is in our product and our vision is shared with our customers.NAS for HomeTake your connected home environment to the next level with a NAS system that is equipped with WD Red hard drives and enjoy streaming your media, backing up your computers, file sharing and managing your digital content faster and easier. The WD Red NASware 3.0 experience with increased compatibility makes sharing from your mobile device, computer, TV, stereo and more an instant gratification. WD Red enables you to create your own reliable Personal Cloud.NAS for Small BusinessIncrease the efficiency and productivity of your small business with WD Red hard drives for your 1 to 8 bay NAS system. WD Red comes equipped with NASware 3.0, which increases system compatibility allowing for seamless integration with your existing network infrastructure. Add value to your business by enabling your employees to quickly share their files and back up folders reliably with WD Red NAS hard drives in your NAS solution. For medium to large business environments from 8 to 16 bays, use WD Red Pro.3D Active Balance PlusOur enhanced dual-plane balance control technology significantly improves the overall drive performance and reliability. Hard drives that are not properly balanced may cause excessive vibration and noise in a multi-drive system, reduce the hard drive life span, and degrade the performance over time. (EFRX models only)The Right Choice!WD Red is designed specifically for home and small office NAS systems and PCs with RAID.Enhanced ReliabilitySince your NAS system is always on, a highly reliable drive is essential. With a 35% MTBF improvement over standard drives, the WD Red drive with NASware 3.0 is designed for the 24x7 environment.NAS CompatibilityAdvanced firmware technology built into every WD Red drive, NASware 3.0 enables seamless integration, robust data protection and optimal performance for systems operating in NAS and RAID environments.Lower Operating TemperaturesInnovative technology reduces power consumption and lowers the operating temperature, resulting in a more reliable and affordable solution for always on NAS environments.",70.78,37,,
38,Kingston,KINGSTON 8GB 1600MHz DDR3 CL10 DIMM HyperX Fury Black Series,,41.41,38,,
39,,"RAM Large Tough-Claw Clamp w 1\"" Ball (RAP-B-401U)","Included:1 x RAM® Large Tough-Claw Clamp w 1\"" Ball (RAP-401U)The RAP-B-401URAM Large Tough-Claw™ is the perfect mounting base for quick and easy tool-less installation and removal on round, square, odd shaped rails and bars.TheRAP-B-401Ucan be clamped on rails from 1\"" to 2.25\""outer diameter.Ideal for mounting tablets, action cameras, smartphones, rod holders for rod storage and much more in a wide variety of applications.Perfectly suited for mounting on the yoke of an aircraft, handlebars and seat posts of bicycles, kayak rails, roll bars and much more, the RAM® Tough-Claw™ will soon become another essential RAM® component in your collection of mounting options.SpecificationsClamping Range (Rail/Tube Surfaces):1\"" to 2.25\""Clamping Range (Flat Surfaces):0\"" to 2.2\""Physical Dimensions:Height: 6\""Width: 2.25\""Features:1. High strength glass-filled nylon construction with corrosion-resistant stainless steel hardware2. Rubber pads provide stable, even gripping and protection of mounting surface3. Clamp jaw is configured for round, flat and odd shapes4. Quick installation and removal of Tough-Claw™5. Lifetime Warranty!Material:High Strength Composite and Stainless Steel HardwareBall Size:B Size 1\"" Rubber BallNote:The \""U\"" in the part number reflects product packaged in poly bag.",86.65,39,,
40,Ubiquiti Networks (UBNT),Ubiquiti UniFi AP AC Pro Mesh Access Point (5 Pack),Ubiquiti UniFi AP AC Pro Mesh Access Point - UAP-AC-M-PRO-5 - 5 Pack,876.36,40,,
41,,Gorra New Era NFL Green Bay Packers 9Fifty Cap,,3.99E1,41,,
42,,ZEBRA 800015-448 YMCKOK COLOUR RIBBON (170 PRINTS),"The Zebra 800015-448 YMCKOK colour ribbon is perfect for producing small batches of plastic cards. The full-colour dye prints photo-quality images and the two panels of black resin allow printing of detailed text and barcodes onto both sides of the card. The overlay panel also means your ID cards will be durable and scratch resistant.	170 full-colour prints per roll	YMCKOK ribbon (Yellow, magenta, Cyan, Black, Overlay and Black panels)	Use genuine Zebra products only to ensure quality performanceManufacturer part number: 800015-448",42,42,,
43,TP-Link,TP-LINK TL-SG105E L2 Gigabit Ethernet (10/100/1000) Zwart,5-Port Gigabit Easy Smart Switch,18.60,43,,
44,,GoPro Dual Battery Charger (for HERO4),"Dual Battery Charger for HERO 4 conveniently charge two GoPro batteries simultaneously. Charges via any USB port. For up to 45% faster charging, use with GoPro Supercharger (International Dual-Port Charger). Dual LED indicator lights display the charging status. Includes a spare 1220 mAh lithium-ion rechargeable battery.",715.00,44,,
45,LACIE,LaCie 2TB Rugged Mobile USB-C,"2TB, 130MB/s, 1 × USB-C (USB 3.0), Drop/Crush/Water resistance, 100 g",1.5999E2,45,,
46,Shimano,Shimano Shimano PD-M324 Clipless/Clip Pedals,,60.99,46,,
47,,"Samsung 860 PRO SSD - Zwart, Rood",SAMSUNG SSD 860 PRO 1TB 2.5inch SATA 560MB/s read 530MB/s write MJX,2.8556E2,47,,
48,APC,APC Replacement Battery Cartridge #110 (RBC110),"To Fit: BE550G-UK, BR550GI",43.10,48,,
49,Samsung,"Samsung 27\"" C27F390FHU LED Curved","27\"", 16:9, 1920x1080, MegaDCR/3000:1, 250cd/m2, 4ms, 1xHDMI, Black, LED, Full HD, Hajlított, D-Sub",57989.47,49,,
50,,"CISCO (WS-C2960X-24TD-L) CATALYST 2960-X 24 GIGE, 2 X 10G SFP+, LAN BASE",Highest quality cisco products,2073.09,50,,
51,Kingston,KINGSTON 8GB 1600MHz DDR3 CL10 DIMM (Kit of 2) HyperX Fury Black Series,,46.68,51,,
52,,Johnnie Walker Red Label Whisky 70cl 40% ABV,"Johnnie Walker Red Label is the companies Pioneer Blend, the one that has introduced their whisky to the world. Highly versatile and with universal appeal, it has a bold, characterful flavour that shines through even when mixed. Johnnie Walker Red Label is now the best-selling Scotch Whisky around the globe.",2.395E1,52,,
53,,Nikon AF-S 300mm f4E PF ED VR,,1479.10,53,,
54,,Park Tool Y Hex Wrench AWS-3,,14.99,54,,
55,,Sigma 35mm f/1.4 DG HSM Art Lens for Canon EF,,42.9,55,,
56,,SANDISK ULTRA USB 3.0 64GB (1),"SanDisk Ultra USB 3.0 64GB. Transfer a full-length movie in less than 40 seconds with the SanDisk Ultra 64GB* USB 3.0 flash drive. Write-to-drive up to ten times faster than standard USB 2.0* drives with SanDisk’s sturdy, fast-performing Ultra® 64GB USB 3.0 Flash Drive. Be generous sharing your",11.89,56,,
57,,Corsair Carbide 175R RGB Case price in BD 2020 | Softech,Discover Corsair Carbide 175R RGB Mid-Tower Desktop Casing at the best price in Bangladesh. We have wide range stock of gaming items. Shop online or visit.,3450.00,57,,
58,Ubiquiti,Ubiquiti UniFi AC HD Dual Band Access Point 5 Pack,Ubiquiti UniFi AC HD Dual Band Access Point 5 Pack available to buy online from PC Case Gear – Australia’s Premier Online PC Store.,2639,58,,
59,Remo,"Remo Remo BA-0114-00 / 14\"" AMBASSADOR RUW WIT","14\"" Ambassador ruw wit tom/ Snare/ Floortomvel",22.60,59,,
60,Logitech,Webcam Logitech Brio 4K Pro,,0.0,60,,
61,,CORSAIR CRYSTAL 680X RGB TG WHITE,Boitier gamer format ATX,,61,,
